name,category,niche,rating,reviews,phone,website,websiteType,websiteQuality,opportunityScore,businessScore,isHigh,isNoWebsite,isSocial,isDirectory,isWeakWebsite,isSellable,city,state,googleMapsUrl,sourceFile
Bar Leonardo,Bar,Bar,4.3,190,+34 959 81 26 19,,none,NOT_APPLICABLE,81,75,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Leonardo&query_place_id=ChIJJ7EpstvPEQ0RZcpIXG9ucVU,bares\website-analysis.csv
Bar LA ILUSION,Bar,Bar,4.4,172,+34 617 78 28 19,,none,NOT_APPLICABLE,81,75,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20LA%20ILUSION&query_place_id=ChIJu79sS8DPEQ0RNAJyS91BzbM,bares\website-analysis.csv
Bar Costa de la Luz,Cafetería,Cafetería,4.2,169,+34 667 06 09 16,,none,NOT_APPLICABLE,81,75,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Costa%20de%20la%20Luz&query_place_id=ChIJB2GKg9fPEQ0RCbpDX6q-euM,bares\website-analysis.csv
La tasquita de candela huelva,Restaurante,Restaurante,4.3,163,+34 671 92 95 42,,none,NOT_APPLICABLE,81,75,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=La%20tasquita%20de%20candela%20huelva&query_place_id=ChIJAyry5w3PEQ0RiN5qnL1xtKI,bares\website-analysis.csv
Taberna Los Compadres Verdeluz,Taberna,Taberna,4.6,39,+34 614 62 80 84,,none,NOT_APPLICABLE,80,68,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Taberna%20Los%20Compadres%20Verdeluz&query_place_id=ChIJVxj6ln7PEQ0RtWaDZ5Ygi1k,bares\website-analysis.csv
Raymi Cafetería Pub,Cafetería,Cafetería,4.5,299,,,none,NOT_APPLICABLE,78,69,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Raymi%20Cafeter%C3%ADa%20Pub&query_place_id=ChIJM5qbldfPEQ0RfNeTAWxXX6I,bares\website-analysis.csv
Bar La Mantua,Bar,Bar,4.5,159,,,none,NOT_APPLICABLE,78,69,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20La%20Mantua&query_place_id=ChIJM1rBIybQEQ0RCJrBeiyqbYE,bares\website-analysis.csv
"Bar ""La Reja""",Bar,Bar,4.3,96,+34 600 33 89 54,,none,NOT_APPLICABLE,78,68,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20%22La%20Reja%22&query_place_id=ChIJFRDYQiDQEQ0RKNF82GuuOfo,bares\website-analysis.csv
Bar ultimo dolar,Bar de tapas,Bar de tapas,4.3,78,+34 663 29 30 53,,none,NOT_APPLICABLE,78,68,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20ultimo%20dolar&query_place_id=ChIJXfa0AeHPEQ0Rbxd6ZdCMgZ4,bares\website-analysis.csv
Más ke Pollos,Restaurante especializado en pollo,Restaurante especializado en pollo,4.2,77,+34 959 81 64 90,,none,NOT_APPLICABLE,78,68,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=M%C3%A1s%20ke%20Pollos&query_place_id=ChIJy-VW29_PEQ0RYkm6_8_zrvI,bares\website-analysis.csv
Cafetería Heladería La Flamenca,Heladería,Heladería,4.1,56,+34 959 82 89 58,,none,NOT_APPLICABLE,78,68,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Cafeter%C3%ADa%20Helader%C3%ADa%20La%20Flamenca&query_place_id=ChIJPXKip7_PEQ0RKpJ9k-hZBLU,bares\website-analysis.csv
Bar Paco Moreno,Bar,Bar,4.3,1198,+34 959 24 30 48,https://m.facebook.com/cbpacomoreno/?locale2=es_ES,social,NOT_APPLICABLE,77,86,true,false,true,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Paco%20Moreno&query_place_id=ChIJeV9G1CfQEQ0RkhsZPt9ceRY,bares\website-analysis.csv
La Florida Huelva,Cafetería,Cafetería,4.3,646,+34 672 07 84 05,https://www.facebook.com/lafloridahuelva/,social,NOT_APPLICABLE,77,86,true,false,true,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=La%20Florida%20Huelva&query_place_id=ChIJ4XAubYzPEQ0RdeWl2qjN-ow,bares\website-analysis.csv
Bar café nandos,Bar,Bar,4.5,20,+34 692 61 69 42,,none,NOT_APPLICABLE,76,59,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20caf%C3%A9%20nandos&query_place_id=ChIJ7ZO8sqvPEQ0Rtm0-m5LF0b8,bares\website-analysis.csv
Platero Terraza Bar,Bar de tapas,Bar de tapas,3.9,1523,+34 687 78 26 90,,none,NOT_APPLICABLE,75,70,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Platero%20Terraza%20Bar&query_place_id=ChIJ20xbCPHPEQ0R0E0yiSogxuo,bares\website-analysis.csv
Bar Vaquero,Bar,Bar,3.8,421,+34 693 78 46 40,,none,NOT_APPLICABLE,75,65,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Vaquero&query_place_id=ChIJF3JY08HPEQ0R5Ywb9kdqCkg,bares\website-analysis.csv
Café-Bar Palacios,Restaurante de cocina española,Restaurante de cocina española,4.8,11,+34 675 90 36 59,,none,NOT_APPLICABLE,75,64,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Caf%C3%A9-Bar%20Palacios&query_place_id=ChIJORQgLADREQ0Ri8fxCMpKeLM,bares\website-analysis.csv
Cafetería Snif Heladería,Heladería,Heladería,4.5,74,,,none,NOT_APPLICABLE,75,62,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Cafeter%C3%ADa%20Snif%20Helader%C3%ADa&query_place_id=ChIJT3N7ltfPEQ0Rk9NdvCuNyBY,bares\website-analysis.csv
Hamburguesería bianka,Hamburguesería,Hamburguesería,5,7,+34 643 96 01 48,,none,NOT_APPLICABLE,75,55,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Hamburgueser%C3%ADa%20bianka&query_place_id=ChIJibZgR9rPEQ0RGAvBEjUzExM,bares\website-analysis.csv
Bar JD,Bar,Bar,4.8,4,+34 959 81 03 97,,none,NOT_APPLICABLE,75,55,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20JD&query_place_id=ChIJJyRvVFPPEQ0Ri2mHskRW2iI,bares\website-analysis.csv
TABERNA EL TORIL,Bar restaurante,Bar restaurante,4.3,178,+34 671 47 20 68,https://www.facebook.com/Taberna-El-Toril-240613159735016,social,NOT_APPLICABLE,74,75,false,false,true,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=TABERNA%20EL%20TORIL&query_place_id=ChIJ95QVP9jPEQ0RGhN9C-k_5T0,bares\website-analysis.csv
Taberna Los Compadres - Huelva,Cafetería,Cafetería,4.3,116,+34 685 58 46 20,https://www.facebook.com/tabernaloscompadres/,social,NOT_APPLICABLE,74,75,false,false,true,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Taberna%20Los%20Compadres%20-%20Huelva&query_place_id=ChIJt1N8BTLPEQ0RZf44pQEkhdw,bares\website-analysis.csv
Bar Opapis,Bar,Bar,4.3,444,,,none,NOT_APPLICABLE,74,66,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Opapis&query_place_id=ChIJewuP2OjPEQ0Rl99IH8zm6GQ,bares\website-analysis.csv
Restaurante Góndola,Restaurante,Restaurante,4.2,380,,,none,NOT_APPLICABLE,74,66,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Restaurante%20G%C3%B3ndola&query_place_id=ChIJUakpb-nPEQ0RmW4LT4tG40M,bares\website-analysis.csv
Bar Cafetería LAZOS,Cafetería,Cafetería,4.9,36,,,none,NOT_APPLICABLE,74,58,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Cafeter%C3%ADa%20LAZOS&query_place_id=ChIJDUxLCADREQ0RakTfESiwh4Q,bares\website-analysis.csv
Asador de pollos Las Colonias,Restaurante especializado en pollo,Restaurante especializado en pollo,4.3,39,+34 664 00 17 26,,none,NOT_APPLICABLE,73,59,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Asador%20de%20pollos%20Las%20Colonias&query_place_id=ChIJudLqMLrPEQ0RDAGN4ZsjsvQ,bares\website-analysis.csv
Bar Sergio Huelva,Bar de tapas,Bar de tapas,4.1,36,+34 652 76 97 58,,none,NOT_APPLICABLE,73,59,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Sergio%20Huelva&query_place_id=ChIJ14qJTenPEQ0RCJKNXBYHVf4,bares\website-analysis.csv
La Hispanidad: Hamburguesería y Churrería,Hamburguesería,Hamburguesería,4.4,33,+34 600 36 88 69,,none,NOT_APPLICABLE,73,59,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=La%20Hispanidad%3A%20Hamburgueser%C3%ADa%20y%20Churrer%C3%ADa&query_place_id=ChIJq0ccIrvPEQ0ReWKOw-Albks,bares\website-analysis.csv
El Ancla,Bar,Bar,3.8,252,+34 615 60 26 04,,none,NOT_APPLICABLE,72,59,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=El%20Ancla&query_place_id=ChIJIUGH1e7PEQ0RJPRXS7V8NrQ,bares\website-analysis.csv
Bar Nuevo Fantasma,Bar de tapas,Bar de tapas,3.7,211,+34 603 12 12 28,,none,NOT_APPLICABLE,72,59,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Nuevo%20Fantasma&query_place_id=ChIJieg60OnPEQ0RNgGsNtRC-0E,bares\website-analysis.csv
leviatan kebab,Restaurante de comida rápida,Restaurante de comida rápida,3.4,188,+34 959 87 41 85,,none,NOT_APPLICABLE,72,59,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=leviatan%20kebab&query_place_id=ChIJQR_7B8LPEQ0R-KX1-3z0mQM,bares\website-analysis.csv
Bar El Cañaveral,Bar,Bar,3.9,110,+34 959 81 01 79,,none,NOT_APPLICABLE,72,59,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20El%20Ca%C3%B1averal&query_place_id=ChIJURciS-nPEQ0Rd1t23Ulp2oc,bares\website-analysis.csv
CHURRERÍA MADRID CAFETERÍA,Churrería,Churrería,4.1,290,,,none,NOT_APPLICABLE,71,60,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=CHURRER%C3%8DA%20MADRID%20CAFETER%C3%8DA&query_place_id=ChIJyx7J2t_PEQ0Rst2MAfm66C8,bares\website-analysis.csv
Bar Cafetería Euro,Bar,Bar,4.1,267,,,none,NOT_APPLICABLE,71,60,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Cafeter%C3%ADa%20Euro&query_place_id=ChIJh3Y6bOPPEQ0R11oGNCkNbyY,bares\website-analysis.csv
Churreria La Parada,Bar,Bar,4.4,243,,,none,NOT_APPLICABLE,71,60,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Churreria%20La%20Parada&query_place_id=ChIJhweaBdvPEQ0RMgqNBtE9IbQ,bares\website-analysis.csv
Bar La Perdiz,Bar,Bar,4.4,240,,,none,NOT_APPLICABLE,71,60,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20La%20Perdiz&query_place_id=ChIJTy-_stvPEQ0RbI5DNXWhDzw,bares\website-analysis.csv
Bar Centro Pati,Bar de tapas,Bar de tapas,4.3,126,,,none,NOT_APPLICABLE,71,60,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Centro%20Pati&query_place_id=ChIJ75fYm8TPEQ0RTVEFLDuyeNo,bares\website-analysis.csv
Bar Canijo,Bar de tapas,Bar de tapas,4.4,118,,,none,NOT_APPLICABLE,71,60,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Canijo&query_place_id=ChIJI53BJvDPEQ0Ryqk9aQHT-34,bares\website-analysis.csv
Bar El Carmen,Bar,Bar,4.1,117,,,none,NOT_APPLICABLE,71,60,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20El%20Carmen&query_place_id=ChIJ5Q4yucTPEQ0R3m21sTppdHk,bares\website-analysis.csv
Bar Jabali,Pizzería,Pizzería,3.9,88,+34 631 61 82 28,,none,NOT_APPLICABLE,69,52,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Jabali&query_place_id=ChIJG6hGy9vPEQ0RJqH2d8ZMNLE,bares\website-analysis.csv
Bar Café Humilladero,Bar,Bar,4.2,25,+34 638 59 20 18,,none,NOT_APPLICABLE,69,50,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Caf%C3%A9%20Humilladero&query_place_id=ChIJ_YdOZcTPEQ0R5hwNbuUZKs0,bares\website-analysis.csv
Bar Cafetería La Carpa,Cafetería,Cafetería,3.7,1031,+34 959 29 02 04,https://www.facebook.com/BarLaCarpa/,social,NOT_APPLICABLE,68,70,false,false,true,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Cafeter%C3%ADa%20La%20Carpa&query_place_id=ChIJGQraQ-PPEQ0RAWlGGFuflAg,bares\website-analysis.csv
La Faraona,Bar de tapas,Bar de tapas,4.5,72,,https://www.instagram.com/lafaraonacerveceria?igsh=MTB2MWp2dGYyYXBucA%3D%3D&utm_source=qr,social,NOT_APPLICABLE,68,62,false,false,true,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=La%20Faraona&query_place_id=ChIJMzF1JADPEQ0RNiCZJWK5NJo,bares\website-analysis.csv
Bar la piscina del molino,Bar,Bar,4.9,9,+34 859 99 75 57,https://www.instagram.com/barlapiscina.huelva?igsh=cTYzMjFxc3lqOWdp&utm_source=qr,social,NOT_APPLICABLE,68,55,false,false,true,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20la%20piscina%20del%20molino&query_place_id=ChIJO3WxrtPPEQ0R6h3qI2fNo1Q,bares\website-analysis.csv
Bar Cafetería Spencer,Cafetería,Cafetería,4,81,,,none,NOT_APPLICABLE,68,53,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Cafeter%C3%ADa%20Spencer&query_place_id=ChIJvz6twujPEQ0RH6x1Zh5MP9Q,bares\website-analysis.csv
Salón de Juegos Bar Abel,Bar,Bar,4.2,78,,,none,NOT_APPLICABLE,68,53,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Sal%C3%B3n%20de%20Juegos%20Bar%20Abel&query_place_id=ChIJ3y9JmOTPEQ0RIAW-vxsU-fw,bares\website-analysis.csv
Bar Cafetería El Ancla,Cafetería,Cafetería,4.3,72,,,none,NOT_APPLICABLE,68,53,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Cafeter%C3%ADa%20El%20Ancla&query_place_id=ChIJobBrucTPEQ0RwFT8nDT-tKs,bares\website-analysis.csv
Bar la proa,Bar,Bar,4.3,64,,,none,NOT_APPLICABLE,68,53,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20la%20proa&query_place_id=ChIJdct1ttfPEQ0RNY1x0G6HC8c,bares\website-analysis.csv
Sala de juegos París,Cafetería,Cafetería,4.2,62,,,none,NOT_APPLICABLE,68,53,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Sala%20de%20juegos%20Par%C3%ADs&query_place_id=ChIJMxM9BMLPEQ0R0xIN-RClFco,bares\website-analysis.csv
"Bar ""La Sartencilla""",Bar,Bar,4,60,,,none,NOT_APPLICABLE,68,53,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20%22La%20Sartencilla%22&query_place_id=ChIJH9sGuOnPEQ0RxicXtRN4-N4,bares\website-analysis.csv
Bar El Almendro,Bar,Bar,4.1,55,,,none,NOT_APPLICABLE,68,53,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20El%20Almendro&query_place_id=ChIJn2iTbtvPEQ0ROzdnJEspm1A,bares\website-analysis.csv
Bar Los Gonzalez,Bar restaurante,Bar restaurante,4.8,15,,,none,NOT_APPLICABLE,65,49,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Los%20Gonzalez&query_place_id=ChIJO0kRgprPEQ0RQllkyER5KQo,bares\website-analysis.csv
Bar Diego,Bar,Bar,5,4,,,none,NOT_APPLICABLE,65,40,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Diego&query_place_id=ChIJVTVgNgDPEQ0RF1m-5kvOoGk,bares\website-analysis.csv
Bar Río Odiel,Bar,Bar,5,4,,,none,NOT_APPLICABLE,65,40,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20R%C3%ADo%20Odiel&query_place_id=ChIJN16Ja2DPEQ0RRvVRfCYlsNM,bares\website-analysis.csv
Parrilla San Antonio,Restaurante familiar,Restaurante familiar,5,2,,,none,NOT_APPLICABLE,65,40,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Parrilla%20San%20Antonio&query_place_id=ChIJQxWPagDPEQ0RWedPa_jCOrM,bares\website-analysis.csv
BAR LA PENULTIMA,Bar,Bar,5,1,,,none,NOT_APPLICABLE,65,40,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=BAR%20LA%20PENULTIMA&query_place_id=ChIJDbw_tsHPEQ0Rks2o3BTFYiw,bares\website-analysis.csv
Bar Los Compadres Verdeluz,,Otros,5,1,,,none,NOT_APPLICABLE,65,40,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Los%20Compadres%20Verdeluz&query_place_id=ChIJW_akPQDPEQ0Rlejoai8IedY,bares\website-analysis.csv
Snack H’tacos,Restaurante de comida rápida,Restaurante de comida rápida,3.4,43,+34 641 65 40 12,,none,NOT_APPLICABLE,64,43,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Snack%20H%E2%80%99tacos&query_place_id=ChIJQTMTJkLPEQ0RTTfr10L0tKA,bares\website-analysis.csv
Café-Burger Desavio La Abuela,Cafetería,Cafetería,4.1,9,+34 614 11 86 60,,none,NOT_APPLICABLE,64,41,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Caf%C3%A9-Burger%20Desavio%20La%20Abuela&query_place_id=ChIJOTCdy_HPEQ0R6r6LR16YTp0,bares\website-analysis.csv
Bar Cafetería El Cortijero,Bar,Bar,4.1,47,,,none,NOT_APPLICABLE,63,44,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Cafeter%C3%ADa%20El%20Cortijero&query_place_id=ChIJBxSf_3nPEQ0RQoKCEQ_Bjrs,bares\website-analysis.csv
Bar Er Kalañés,Bar,Bar,4.3,44,,,none,NOT_APPLICABLE,63,44,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Er%20Kala%C3%B1%C3%A9s&query_place_id=ChIJm0aYyiPPEQ0Rf2pt9KaMRO4,bares\website-analysis.csv
Ciudad del Marisco,Restaurante,Restaurante,4.3,30,,,none,NOT_APPLICABLE,63,44,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Ciudad%20del%20Marisco&query_place_id=ChIJs6LI1WLPEQ0RVuZdObgB12w,bares\website-analysis.csv
Bar maysam,Restaurante,Restaurante,4.7,18,,,none,NOT_APPLICABLE,61,44,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20maysam&query_place_id=ChIJl75GXgDPEQ0RaX1Tg0VuM18,bares\website-analysis.csv
ASADOR DE POLLOS EL GRECO,Restaurante especializado en pollo,Restaurante especializado en pollo,3.8,24,+34 613 62 51 85,,none,NOT_APPLICABLE,60,34,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=ASADOR%20DE%20POLLOS%20EL%20GRECO&query_place_id=ChIJ41PafobPEQ0R7q79cq4-ur4,bares\website-analysis.csv
Bar Cintado,Bar,Bar,3.9,85,,,none,NOT_APPLICABLE,59,37,false,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Cintado&query_place_id=ChIJTfohv9nPEQ0Rpr5vpLiLALU,bares\website-analysis.csv
