"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","url","categoryName"
"Auto Mecánica Zafra","4.9","63","Av. Alemania, 18","Huelva","Huelva","ES",,"+34 959 04 83 53","Taller de reparación de automóviles",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Auto%20Mec%C3%A1nica%20Zafra&query_place_id=ChIJmZgs7y7QEQ0RSlnTsHFD9_Y","Taller de reparación de automóviles"
"Taller El Olivo","4.7","99","C. Emilio Molero","Huelva","Huelva","ES",,"+34 639 08 14 45","Taller de reparación de automóviles",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Taller%20El%20Olivo&query_place_id=ChIJLaqheN_PEQ0RXMEzeRHSpQc","Taller de reparación de automóviles"
"AUTOSIRE","4.7","37","C. Encinasola, 34","Huelva","Huelva","ES",,"+34 959 80 10 96","Taller de reparación de automóviles",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AUTOSIRE&query_place_id=ChIJQ7WpngTQEQ0RM0JckNJ_GqU","Taller de reparación de automóviles"
"Talleres Asdrubal","4.7","86","C. Chaparral, 2","Huelva","Huelva","ES",,"+34 638 95 35 53","Taller de automóviles",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Talleres%20Asdrubal&query_place_id=ChIJ5XHeox7QEQ0RwruJ1EL5arc","Taller de automóviles"
"TALLER COAC","4.8","37","Av. Alemania, 23","Huelva","Huelva","ES",,"+34 959 24 44 33","Taller mecánico",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=TALLER%20COAC&query_place_id=ChIJaw1njijQEQ0RRNVND00iqSg","Taller mecánico"
"Electromecánica Joviauto S.C","4.6","82","C. la Gravera, 26","Huelva","Huelva","ES",,"+34 959 25 43 51","Taller de automóviles",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Electromec%C3%A1nica%20Joviauto%20S.C&query_place_id=ChIJBToS29fPEQ0REr4txnCjeBs","Taller de automóviles"
"Midas HUELVA/Avd. Doctor Rubio","4.4","74","Av. Dr. Rubio, 6","Huelva","Huelva","ES","https://www.midas.es/talleres-coche-moto-midas/andalucia/huelva/huelva/huelvaavd-doctor-rubio_3773","+34 959 86 30 00","Taller mecánico","Taller de aire acondicionado automotriz","Tienda de repuestos para automóviles","Taller de frenos","Tienda de baterías para automóvil","Taller de automóviles","Taller de reparación de automóviles","Servicio de cambio de aceite","Llantera","https://www.google.com/maps/search/?api=1&query=Midas%20HUELVA%2FAvd.%20Doctor%20Rubio&query_place_id=ChIJVV4deUnREQ0Rkkkr4B8aO0U","Taller mecánico"
"Auto Services Nuevo Tartessos","4.7","42","C. Cervantes, 24","Huelva","Huelva","ES","https://autoservicesnuevo-tartes-7dh1wfo.gamma.site/","+34 611 85 77 11","Taller de reparación de automóviles","Taller de revisión de automóviles",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Auto%20Services%20Nuevo%20Tartessos&query_place_id=ChIJWxfX9xDQEQ0RbNz-c2_v1AE","Taller de reparación de automóviles"
"Talleres JR Romero","3.7","55","C. Castilla, 6","Huelva","Huelva","ES",,"+34 959 80 53 87","Taller mecánico",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Talleres%20JR%20Romero&query_place_id=ChIJFyUsADDQEQ0RJcss8WIr_II","Taller mecánico"
"Bosch Car Service Javier Olivares Gutierrez","4.2","89","C. Monsalve, 2","Huelva","Huelva","ES","https://www.boschcarservice.com/es/es","+34 959 23 30 50","Taller mecánico","Taller de cristales para automóviles","Taller de revisión de automóviles","Taller de frenos","Tienda de baterías para automóvil","Taller de automóviles","Taller de reparación de motores diésel","Taller de reparación de motores eléctricos","Taller de reparación de automóviles","https://www.google.com/maps/search/?api=1&query=Bosch%20Car%20Service%20Javier%20Olivares%20Gutierrez&query_place_id=ChIJWavF3xrQEQ0Rxxs26eOLyd4","Taller mecánico"
"Talleres Hermanos Romero Minchon","4.9","50","C. Obispo Díaz Bernal, 15","Huelva","Huelva","ES",,"+34 606 43 82 50","Taller de reparación de automóviles",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Talleres%20Hermanos%20Romero%20Minchon&query_place_id=ChIJk2NUFxvQEQ0RBKcf6Igs-cA","Taller de reparación de automóviles"
"El Alemán Taller Mecánico","5","1","Polirrosa Poligono Industrial Polirrosa, Calle B, naves 96-97","Huelva","Huelva","ES",,"+34 672 12 61 61","Taller mecánico",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=El%20Alem%C3%A1n%20Taller%20Mec%C3%A1nico&query_place_id=ChIJHwGDaJTREQ0RofW-1O7V3tE","Taller mecánico"
"TALLER AUTO CONFIANZA","4.8","74","Calle Santiago Apóstol, 39","Huelva","Huelva","ES","http://www.tallerautoconfianza.com/","+34 959 81 68 66","Taller de reparación de automóviles",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=TALLER%20AUTO%20CONFIANZA&query_place_id=ChIJadVaOtjPEQ0RFKcSrHgZSMo","Taller de reparación de automóviles"
"Euromaster Huelva Santiago","4.4","223","Calle Santiago Apóstol, 45","Huelva","Huelva","ES","https://www.euromaster-neumaticos.es/centros/andalucia/huelva/euromaster-huelva-el-molino?utm_source=Google&utm_medium=organic&utm_campaign=Uberall_GBP&utm_content=LDS&utm_term=Uberall_GBP","+34 959 24 22 47","Taller de reparación de automóviles","Tienda de repuestos para automóviles","Tienda de neumáticos",,,,,,,"https://www.google.com/maps/search/?api=1&query=Euromaster%20Huelva%20Santiago&query_place_id=ChIJR1pc7inQEQ0RzSXRDMU_7wE","Taller de reparación de automóviles"
"Motrio","4.7","3","C. Palos de la Frontera, 16","Huelva","Huelva","ES",,"+34 959 28 52 17","Taller mecánico",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Motrio&query_place_id=ChIJKdPtRSTQEQ0R_cC95b_1mFw","Taller mecánico"
"Taller Mecánico Huelva Fucarauto - Doctor Rubio | Neumáticos, mantenimiento y averías de mecánica general","4","81","Av. Dr. Rubio, 2","Huelva","Huelva","ES","https://www.fucarauto.com/","+34 959 24 72 11","Taller de reparación de automóviles","Taller de cristales para automóviles","Taller de amortiguadores","Taller de frenos","Taller de reparación de motores diésel","Taller de reparación de motores eléctricos",,,,"https://www.google.com/maps/search/?api=1&query=Taller%20Mec%C3%A1nico%20Huelva%20Fucarauto%20-%20Doctor%20Rubio%20%7C%20Neum%C3%A1ticos%2C%20mantenimiento%20y%20aver%C3%ADas%20de%20mec%C3%A1nica%20general&query_place_id=ChIJE1phnhzQEQ0RuGfCvIgfhb0","Taller de reparación de automóviles"
"NIETO HUELVA MOTOR","4.8","142","Av. Alemania, n°78","Huelva","Huelva","ES","http://www.nietohuelvamotor.com/","","Taller de reparación de motos","Proveedor de dinamómetros","Concesionario de motos","Tienda de repuestos para motos",,,,,,"https://www.google.com/maps/search/?api=1&query=NIETO%20HUELVA%20MOTOR&query_place_id=ChIJzTRXeijQEQ0R9S4qOemPAnc","Taller de reparación de motos"
"Lavados y Engrases Huelva SL","4.5","77","C. Palos de la Frontera, 20","Huelva","Huelva","ES","https://www.tuwebmovil.es/empresa/lavados-y-engrases-huelva/","+34 959 28 52 17","Taller de reparación de automóviles",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lavados%20y%20Engrases%20Huelva%20SL&query_place_id=ChIJjx2KRSTQEQ0RMgFsf0hplf0","Taller de reparación de automóviles"
"Talleres chapa y pintura San Sebastian","4.2","89","Calle Transversal segunda, Nave A-2","Huelva","Huelva","ES","http://www.talleressansebastian.com/","+34 606 86 74 12","Taller de reparación de automóviles",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Talleres%20chapa%20y%20pintura%20San%20Sebastian&query_place_id=ChIJYVVcb1rQEQ0RONzLApwxRCs","Taller de reparación de automóviles"
"Talleres Iglesias (Mecanica)","4.5","17","C. Juan Salvador, 11","Huelva","Huelva","ES",,"+34 630 40 21 70","Taller de automóviles",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Talleres%20Iglesias%20(Mecanica)&query_place_id=ChIJhSjoTNjPEQ0RNvQxEUKfTVQ","Taller de automóviles"
"Talleres Marín Onubense S.L.","4.2","202","Polígono La Paz, C. el Cabezuelo, Nª 2",,"Huelva","ES","http://www.talleresmarin.net/","+34 678 48 04 36","Taller de reparación de automóviles",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Talleres%20Mar%C3%ADn%20Onubense%20S.L.&query_place_id=ChIJEwhBy6vaEQ0Rxi0edfeqOQY","Taller de reparación de automóviles"
"Monkey Road Workshop (taller de motos)","4.3","126","Polígono industrial polirrosa, calle B, nave 188","Huelva","Huelva","ES",,"+34 627 99 12 65","Taller de reparación de motos",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Monkey%20Road%20Workshop%20(taller%20de%20motos)&query_place_id=ChIJ02gpYQDQEQ0RMFyIerjdV2o","Taller de reparación de motos"
"Morauto Automoción","4","42","C. Galaroza, 47, local 2","Huelva","Huelva","ES",,"+34 959 22 66 38","Taller mecánico",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Morauto%20Automoci%C3%B3n&query_place_id=ChIJLS049-jPEQ0RgguZp9Q6CMI","Taller mecánico"
"Neumáticos Felix","5","585","marismas del polvorín, Polígono Industrial, C. la Gravera, Nave 24","Huelva","Huelva","ES","https://neumaticosfelixhuelva.es/","+34 625 11 05 81","Tienda de neumáticos","Taller de reparación de automóviles","Llantera",,,,,,,"https://www.google.com/maps/search/?api=1&query=Neum%C3%A1ticos%20Felix&query_place_id=ChIJPTwkibLREQ0Rmu3XulXMZ28","Tienda de neumáticos"
"Tocar Motor SL","4.7","58","Polígono la Paz, 80","Huelva","Huelva","ES",,"+34 959 27 02 12","Taller de reparación de automóviles",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tocar%20Motor%20SL&query_place_id=ChIJh7GD-f_PEQ0RU8omK9IFCNs","Taller de reparación de automóviles"
"Marmi Automocion","4.6","16","C. Alájar, 6","Huelva","Huelva","ES","https://marmiautomocion.es/","","Taller de reparación de automóviles",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Marmi%20Automocion&query_place_id=ChIJJSxSGhrQEQ0R4DpifOlv7Ng","Taller de reparación de automóviles"
"Autobox","4.9","40",,,"Huelva","ES","https://www.facebook.com/autoboxhuelva/","+34 681 16 31 28","Taller de automóviles",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Autobox&query_place_id=ChIJnco6gKnaEQ0R2HFbGck97M0","Taller de automóviles"
"Asproauto","4.5","96","Polígono la Paz, 31","Huelva","Huelva","ES","http://www.asproauto.com/","+34 959 27 07 89","Taller de reparación de automóviles",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Asproauto&query_place_id=ChIJcYf0P6raEQ0Ry86pUhEJCA0","Taller de reparación de automóviles"
"Talleres Vargas C.B.","4.9","42","Marismas del Polvorín, Pol. Ind, C. la Gravera, 7","Huelva","Huelva","ES",,"+34 959 24 27 81","Taller de reparación de automóviles",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Talleres%20Vargas%20C.B.&query_place_id=ChIJ2X5HLgfQEQ0RfFmwJWHebuE","Taller de reparación de automóviles"
"Talleres Romero Car","4.1","40","Pol. ind. La Esperanza, C. la Juliana, 1","Huelva","Huelva","ES",,"+34 959 22 67 18","Taller de reparación de automóviles","Servicio de duplicación de llaves","Cerrajero",,,,,,,"https://www.google.com/maps/search/?api=1&query=Talleres%20Romero%20Car&query_place_id=ChIJr3uQpwDQEQ0R7_29aX2HskY","Taller de reparación de automóviles"
"Talleres Lauren","4.3","55","C. Martín Vázquez, 8","Huelva","Huelva","ES",,"+34 959 28 44 12","Taller de reparación de automóviles",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Talleres%20Lauren&query_place_id=ChIJhyWU8RDQEQ0RqrZ4WjFIG7g","Taller de reparación de automóviles"
"Talleres Hubert, S.L.","4.7","113","C. Valverde del Camino, 7","Huelva","Huelva","ES","https://tallereshubert.com/","+34 656 57 44 88","Taller de automóviles","Taller de reparación de automóviles","Concesionario de automóviles",,,,,,,"https://www.google.com/maps/search/?api=1&query=Talleres%20Hubert%2C%20S.L.&query_place_id=ChIJZwleyRDQEQ0Rr-qdL1PTR4Y","Taller de automóviles"
"Neumáticos Jovicar","4.7","94","C. Manuel Sánchez, 10","Huelva","Huelva","ES","https://www.jovicartallerhuelva.es/","+34 601 19 62 47","Taller mecánico","Tienda de repuestos para automóviles","Taller de frenos","Tienda de accesorios para automóviles","Tienda de baterías para automóvil","Taller de automóviles","Tienda de neumáticos",,,"https://www.google.com/maps/search/?api=1&query=Neum%C3%A1ticos%20Jovicar&query_place_id=ChIJJbuYKBzQEQ0RRHSvS4mzPqs","Taller mecánico"
"Am Motor","4.3","31","C. B, nave 189","Huelva","Huelva","ES",,"+34 661 31 67 92","Taller de reparación de automóviles",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Am%20Motor&query_place_id=ChIJbUbFYADQEQ0RwGwDaDnTDOI","Taller de reparación de automóviles"
"Motos Pepe Taller","4.5","52","C. Arquitecto Pinto, 20","Huelva","Huelva","ES",,"+34 959 81 33 66","Taller de reparación de motos",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Motos%20Pepe%20Taller&query_place_id=ChIJsTi-ZRfQEQ0RhF0dckK9DZ8","Taller de reparación de motos"
"Midas HUELVA/Pol.Ind. La Menaja","4.6","193","Ctra. Nacional N-431, Km. 6,26 - P.I. La Menaja","Huelva","Huelva","ES","https://www.midas.es/talleres-coche-moto-midas/andalucia/huelva/huelva/huelvapolind-la-menaja_3663","+34 959 86 30 02","Taller mecánico","Taller de aire acondicionado automotriz","Tienda de repuestos para automóviles","Taller de frenos","Tienda de baterías para automóvil","Taller de automóviles","Taller de reparación de automóviles","Servicio de cambio de aceite","Llantera","https://www.google.com/maps/search/?api=1&query=Midas%20HUELVA%2FPol.Ind.%20La%20Menaja&query_place_id=ChIJ_____z_FEQ0RX5zfLdfxk3w","Taller mecánico"
"Talleres Lince","4.4","76","n° 2, C. Amor de Dios, 2","Huelva","Huelva","ES",,"+34 661 34 71 66","Taller de reparación de automóviles",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Talleres%20Lince&query_place_id=ChIJw-odR9rPEQ0Rfp9j2Yfj-Ck","Taller de reparación de automóviles"
"Camovi Auto","4.7","57","Pol. Ind. Miraval, C. D, 51","Huelva","Huelva","ES","http://www.camoviauto.com/","+34 683 36 67 94","Taller mecánico",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Camovi%20Auto&query_place_id=ChIJA3XCtKzaEQ0RDjsUcpqnQf0","Taller mecánico"
"Talleres Jomiauto","3.5","25","C. Hinojales, 8","Huelva","Huelva","ES",,"+34 667 80 52 43","Taller de automóviles",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Talleres%20Jomiauto&query_place_id=ChIJ5wzqHPrPEQ0RHzSenHDHvL4","Taller de automóviles"
"Talleres Diesel Mover S.L.U","4.9","20","Poligono Industrial Menaja, C/ Arroyo Hondo, 12","Huelva","Huelva","ES",,"+34 959 22 55 39","Taller mecánico","Taller de reparación de automóviles",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Talleres%20Diesel%20Mover%20S.L.U&query_place_id=ChIJcXz5ZFHFEQ0Re--rdoQCDnI","Taller mecánico"
