"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Bar Cafetería El Ancla","4.3","72","C. Hermano Carlos Obrero de Maria, 4","Huelva","Huelva","ES",,"","Cafetería","Bar",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Cafeter%C3%ADa%20El%20Ancla&query_place_id=ChIJobBrucTPEQ0RwFT8nDT-tKs","Cafetería"
"Sala de juegos París","4.2","62","C. Elena Montagut, 5","Huelva","Huelva","ES",,"","Cafetería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sala%20de%20juegos%20Par%C3%ADs&query_place_id=ChIJMxM9BMLPEQ0R0xIN-RClFco","Cafetería"
"Café - Bar La Salina","2.8","33","C. Punta Umbría","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Caf%C3%A9%20-%20Bar%20La%20Salina&query_place_id=ChIJf3K5ddfPEQ0RjDoYUExb8hs","Bar"
"Cafetería La Góndola Onubense S.L.","4.4","506","Av. de Diego Morón, 4","Huelva","Huelva","ES",,"+34 959 15 15 01","Churrería","Bar","Cafetería",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cafeter%C3%ADa%20La%20G%C3%B3ndola%20Onubense%20S.L.&query_place_id=ChIJw2qctO7PEQ0Rnfwmvn_W8Js","Churrería"
"Café bar 6,25","2.8","26","C. Río de la Plata, 2","Huelva","Huelva","ES",,"","Cafetería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Caf%C3%A9%20bar%206%2C25&query_place_id=ChIJY3D7lSzPEQ0RJ9gr3JyVEfE","Cafetería"
"Salón de Juegos Café Bar Artesanos","4.4","49","C. Artesanos, 9","Huelva","Huelva","ES","http://www.seronuba.es/","+34 959 15 09 76","Cafetería","Bar","Salón recreativo",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sal%C3%B3n%20de%20Juegos%20Caf%C3%A9%20Bar%20Artesanos&query_place_id=ChIJpQrBw-jPEQ0R-gP_xsEMsxs","Cafetería"
"La Florida Huelva","4.3","646","Cam. del Saladillo","Huelva","Huelva","ES","https://www.facebook.com/lafloridahuelva/","+34 672 07 84 05","Cafetería","Bar restaurante",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=La%20Florida%20Huelva&query_place_id=ChIJ4XAubYzPEQ0RdeWl2qjN-ow","Cafetería"
"Cafetería de la Residencia de mayores (La Orden)","4.3","6","C. Artesanos, 18","Huelva","Huelva","ES",,"","Cafetería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cafeter%C3%ADa%20de%20la%20Residencia%20de%20mayores%20(La%20Orden)&query_place_id=ChIJn_auia3PEQ0RZZI1pYmLCH8","Cafetería"
"Bar la Bodeguita II","3.5","2","C. Severo Ochoa, 30","Huelva","Huelva","ES",,"+34 632 19 83 77","Cafetería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20la%20Bodeguita%20II&query_place_id=ChIJf-ZSazTPEQ0RI5djVgfPbBQ","Cafetería"
"Bar Cafetería Euro","4.1","267","Av. de Andalucía, 90","Huelva","Huelva","ES",,"","Bar","Cafetería",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Cafeter%C3%ADa%20Euro&query_place_id=ChIJh3Y6bOPPEQ0R11oGNCkNbyY","Bar"
"Taberna Los Compadres Verdeluz","4.6","39","Plaza Sta. Raquel, 16","Huelva","Huelva","ES",,"+34 614 62 80 84","Taberna",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Taberna%20Los%20Compadres%20Verdeluz&query_place_id=ChIJVxj6ln7PEQ0RtWaDZ5Ygi1k","Taberna"
"La Tribu","4.6","2469","Av. de Andalucía","Huelva","Huelva","ES","https://restaurante.covermanager.com/la-tribu/","+34 689 61 52 69","Bar de tapas","Restaurante",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=La%20Tribu&query_place_id=ChIJTevhunfPEQ0R39uVVg18t34","Bar de tapas"
"Bar Cafetería Málaga","3.6","77","C. Málaga, 2","Huelva","Huelva","ES","http://www.seronuba.es/","+34 959 81 97 82","Cafetería","Bar","Salón recreativo",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Cafeter%C3%ADa%20M%C3%A1laga&query_place_id=ChIJAbAzu9_PEQ0RXCMJTqygK38","Cafetería"
"Churreria La Parada","4.4","243","Av. de Cristóbal Colón, 127","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Churreria%20La%20Parada&query_place_id=ChIJhweaBdvPEQ0RMgqNBtE9IbQ","Bar"
"Bar Cafetería Esencia","4.3","7","Plaza Sta. Raquel","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Cafeter%C3%ADa%20Esencia&query_place_id=ChIJvR6YCDrTEQ0R6n15dgzdmFo","Bar"
"Salón de Juegos Café Bar Las Colonias","4","49","Av. de Cristóbal Colón, 74","Huelva","Huelva","ES","http://www.seronuba.es/","+34 959 28 40 75","Cafetería","Bar","Salón recreativo",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sal%C3%B3n%20de%20Juegos%20Caf%C3%A9%20Bar%20Las%20Colonias&query_place_id=ChIJi2r4K9rPEQ0RpWeJz71C6AI","Cafetería"
"Cafetería Heladeria Piranchelo","4.2","564","C. Río de la Plata, 1","Huelva","Huelva","ES","https://mapyo.me/cafetera-heladeria-piranchelo-784504-es","+34 959 15 00 90","Cafetería","Bufé de dulces y repostería","Heladería",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cafeter%C3%ADa%20Heladeria%20Piranchelo&query_place_id=ChIJC7ydFcLPEQ0RtZgO04gt7xI","Cafetería"
"Hermanos Romero & Hildebranda",,,"C. Tres Carabelas, 23","Huelva","Huelva","ES",,"","Cafetería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hermanos%20Romero%20%26%20Hildebranda&query_place_id=ChIJ9y3evwrPEQ0R6wqiQIRj3xo","Cafetería"
"Bar Los Gonzalez","4.8","15","Pl. de los Descubridores, s/n","Huelva","Huelva","ES",,"","Bar restaurante",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Los%20Gonzalez&query_place_id=ChIJO0kRgprPEQ0RQllkyER5KQo","Bar restaurante"
"Bar Cafetería El Cortijero","4.1","47","Plaza Andévalo, numero 4","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Cafeter%C3%ADa%20El%20Cortijero&query_place_id=ChIJBxSf_3nPEQ0RQoKCEQ_Bjrs","Bar"
"Café bar El sitio","4.3","288","C. Severo Ochoa, 16","Huelva","Huelva","ES","https://www.cafebarelsitio.es/","+34 649 29 35 03","Bar","Bar restaurante","Restaurante de desayunos","Cafetería","Restaurante mediterráneo","Restaurante","Brasería","Bar de tapas",,,"https://www.google.com/maps/search/?api=1&query=Caf%C3%A9%20bar%20El%20sitio&query_place_id=ChIJ1ZQ3_WnPEQ0RxAKejvqxxoQ","Bar"
"La Churreria","4.2","295","C. Río de la Plata, 23","Huelva","Huelva","ES",,"+34 655 62 37 09","Cafetería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=La%20Churreria&query_place_id=ChIJpcqW1sHPEQ0R58w58LxZ0Ho","Cafetería"
"Salon de Juegos Café Bar Toledo","3.9","135","C. Alcalde Antonio Segovia, 5","Huelva","Huelva","ES","http://www.seronuba.es/","+34 959 65 11 15","Cafetería","Bar","Salón recreativo",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Salon%20de%20Juegos%20Caf%C3%A9%20Bar%20Toledo&query_place_id=ChIJtboaNeDPEQ0RImucqxb9Lwk","Cafetería"
"Bar Restaurante Los Desniveles","2.9","24","Av. de Diego Morón, 66","Huelva","Huelva","ES",,"","Restaurante","Cafetería",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Restaurante%20Los%20Desniveles&query_place_id=ChIJk9JtawDPEQ0R7UD-Tz315yU","Restaurante"
"Cafetería Heladería Arábica",,,"C. Villa Mundaka, 3","Huelva","Huelva","ES",,"","Cafetería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cafeter%C3%ADa%20Helader%C3%ADa%20Ar%C3%A1bica&query_place_id=ChIJ95eeMgDPEQ0RPLX4LfxhX28","Cafetería"
"Bar Blanca Paloma","4.7","23","Av. de Diego Morón, 14","Huelva","Huelva","ES","https://www.barblancapalomahuelva.es/","+34 662 53 80 96","Bar restaurante","Restaurante","Bar de tapas",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Blanca%20Paloma&query_place_id=ChIJ-0Vc6KHPEQ0Rprny9XAfigU","Bar restaurante"
"Bar Cafetería La Carpa","3.7","1031","Av. de Andalucía","Huelva","Huelva","ES","https://www.facebook.com/BarLaCarpa/","+34 959 29 02 04","Cafetería","Bar",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Cafeter%C3%ADa%20La%20Carpa&query_place_id=ChIJGQraQ-PPEQ0RAWlGGFuflAg","Cafetería"
"La Churreria Omella","4.7","78","Plaza Amparo Correa Beltrán, 3","Huelva","Huelva","ES","https://www.lachurreriaomella.com/","+34 615 88 82 58","Churrería","Cafetería",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=La%20Churreria%20Omella&query_place_id=ChIJMa6zveXPEQ0Rt1Df9YloxC4","Churrería"
"Cafetería Heladería La Flamenca","4.1","56","Av. Santa Marta, 41b","Huelva","Huelva","ES",,"+34 959 82 89 58","Heladería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cafeter%C3%ADa%20Helader%C3%ADa%20La%20Flamenca&query_place_id=ChIJPXKip7_PEQ0RKpJ9k-hZBLU","Heladería"
"CHURRERÍA MADRID CAFETERÍA","4.1","290","Pl. Huerto Paco, 1","Huelva","Huelva","ES",,"","Churrería","Cafetería",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=CHURRER%C3%8DA%20MADRID%20CAFETER%C3%8DA&query_place_id=ChIJyx7J2t_PEQ0Rst2MAfm66C8","Churrería"
"Restaurante Góndola","4.2","380","Av. de Diego Morón, 10","Huelva","Huelva","ES",,"","Restaurante","Bar","Restaurante mediterráneo",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Restaurante%20G%C3%B3ndola&query_place_id=ChIJUakpb-nPEQ0RmW4LT4tG40M","Restaurante"
"Nuevo Bar Madrid","4.3","194","Av. San Antonio, 30","Huelva","Huelva","ES","https://esplace.me/nuevo-bar-madrid-822869-es","+34 627 47 86 16","Bar restaurante","Churrería","Cafetería","Restaurante de comida para llevar",,,,,,,"https://www.google.com/maps/search/?api=1&query=Nuevo%20Bar%20Madrid&query_place_id=ChIJaWG3xd_PEQ0RfQ3iNDF8CLU","Bar restaurante"
"Zorro Viejo Huelva","4.6","1494","C. Fenicios, 25","Huelva","Huelva","ES","https://www.numier.com/carta-digital/carta/zorroviejo/home","+34 959 60 65 15","Restaurante",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Zorro%20Viejo%20Huelva&query_place_id=ChIJxZdMMZbPEQ0RCoSGkPmapNE","Restaurante"
"Contado bar",,,"Av. de Cristóbal Colón","Huelva","Huelva","ES",,"","Cafetería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Contado%20bar&query_place_id=ChIJsxgSumrPEQ0RKC6cyomrrLc","Cafetería"
"Terraza-Bar La Hispanidad","4.4","1504","C. Chucena, 24","Huelva","Huelva","ES",,"+34 959 25 69 02","Bar de tapas",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Terraza-Bar%20La%20Hispanidad&query_place_id=ChIJD0X1G-HPEQ0RahZW-jaLknc","Bar de tapas"
"Taberna Los Compadres - Huelva","4.3","116","Pl. de Cañaveral de León, 7","Huelva","Huelva","ES","https://www.facebook.com/tabernaloscompadres/","+34 685 58 46 20","Cafetería","Taberna","Bar de tapas",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Taberna%20Los%20Compadres%20-%20Huelva&query_place_id=ChIJt1N8BTLPEQ0RZf44pQEkhdw","Cafetería"
"Bar LA Gaviota",,,"Av. de Diego Morón","Huelva","Huelva","ES",,"","Cafetería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20LA%20Gaviota&query_place_id=ChIJ3TDNPADPEQ0RGYcjRnsd2V0","Cafetería"
"Churreria Kiosco",,,"Av. de Cristóbal Colón","Huelva","Huelva","ES",,"","Cafetería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Churreria%20Kiosco&query_place_id=ChIJg4ZuQwHPEQ0RTwuE1np3OJs","Cafetería"
"Bsr El Pati",,,"C. Tres Carabelas","Huelva","Huelva","ES",,"","Cafetería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bsr%20El%20Pati&query_place_id=ChIJ4VsPdgDPEQ0R-0J0-5cnUkE","Cafetería"
"Tasquita Santa Marta","2.8","6","Av. Santa Marta","Huelva","Huelva","ES",,"","Cafetería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tasquita%20Santa%20Marta&query_place_id=ChIJoYZoR2fPEQ0RFyuHVxsuyL0","Cafetería"
"Amor Amar Puerto","4.6","755","Av. de Enlace, 48","Huelva","Huelva","ES",,"+34 652 70 22 11","Restaurante",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Amor%20Amar%20Puerto&query_place_id=ChIJ0XbkKcnPEQ0RKbMqbWqYYoY","Restaurante"
"Taberna El Lepero.","4.4","900","C. Diego de Almagro, 17","Huelva","Huelva","ES","https://mapyo.me/taberna-el-lepero-285240-es","+34 644 18 72 07","Restaurante","Bar restaurante","Taberna",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Taberna%20El%20Lepero.&query_place_id=ChIJU12CytfPEQ0Roh1F5js5eX8","Restaurante"
"Bar Buena vida Huelva","4.5","363","C. Escritor Luis Manzano, 14","Huelva","Huelva","ES",,"+34 637 57 04 56","Restaurante",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Buena%20vida%20Huelva&query_place_id=ChIJJXuXpoTPEQ0RhQIhZ61DU8g","Restaurante"
"El Mercado Ciudad del Marisco","4.4","208","Av. de Enlace, bajo","Huelva","Huelva","ES",,"+34 692 41 21 36","Restaurante",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=El%20Mercado%20Ciudad%20del%20Marisco&query_place_id=ChIJLct8yKXPEQ0Rx2JyrfUdsGc","Restaurante"
"Albero Gastro y Folklore","4.3","457","Av. de Cristóbal Colón, 2","Huelva","Huelva","ES",,"+34 680 93 76 44","Bar restaurante","Restaurante mediterráneo","Restaurante de cocina española",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Albero%20Gastro%20y%20Folklore&query_place_id=ChIJN2NRFNjPEQ0RuHFDp_jfipo","Bar restaurante"
"Churreria Costa De La Luz",,,"C. Punta Umbría, 9","Huelva","Huelva","ES",,"","Cafetería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Churreria%20Costa%20De%20La%20Luz&query_place_id=ChIJdaE6dtfPEQ0RHst_P5QxPQA","Cafetería"
"Bar la piscina del molino","4.9","9","C. Punta Umbría","Huelva","Huelva","ES","https://www.instagram.com/barlapiscina.huelva?igsh=cTYzMjFxc3lqOWdp&utm_source=qr","+34 859 99 75 57","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20la%20piscina%20del%20molino&query_place_id=ChIJO3WxrtPPEQ0R6h3qI2fNo1Q","Bar"
"Bar Diego","5","4","C. Águila Imperial","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Diego&query_place_id=ChIJVTVgNgDPEQ0RF1m-5kvOoGk","Bar"
"Bar Río Odiel","5","4","Av. Costa de la Luz, Blq 5","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20R%C3%ADo%20Odiel&query_place_id=ChIJN16Ja2DPEQ0RRvVRfCYlsNM","Bar"
"Bar Er Kalañés","4.3","44","C. Diego de Almagro","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Er%20Kala%C3%B1%C3%A9s&query_place_id=ChIJm0aYyiPPEQ0Rf2pt9KaMRO4","Bar"
"Bar la proa","4.3","64",,"Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20la%20proa&query_place_id=ChIJdct1ttfPEQ0RNY1x0G6HC8c","Bar"
"Bar Leonardo","4.3","190","Av. de Cristóbal Colón, 108","Huelva","Huelva","ES",,"+34 959 81 26 19","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Leonardo&query_place_id=ChIJJ7EpstvPEQ0RZcpIXG9ucVU","Bar"
"Bar La Perdiz","4.4","240","Av. de Cristóbal Colón, 113","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20La%20Perdiz&query_place_id=ChIJTy-_stvPEQ0RbI5DNXWhDzw","Bar"
"TABERNA EL TORIL","4.3","178","Av. de Cristóbal Colón, 19","Huelva","Huelva","ES","https://www.facebook.com/Taberna-El-Toril-240613159735016","+34 671 47 20 68","Bar restaurante",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=TABERNA%20EL%20TORIL&query_place_id=ChIJ95QVP9jPEQ0RGhN9C-k_5T0","Bar restaurante"
"Bar Los Pitufos","4.4","217","Av. de Cristóbal Colón, 115","Huelva","Huelva","ES",,"+34 657 81 15 90","Bar de tapas","Restaurante",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Los%20Pitufos&query_place_id=ChIJB_JKs9vPEQ0Rz-X-wl8vYXM","Bar de tapas"
"Bar Chico","4","23","Calle Almadraba, 5","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Chico&query_place_id=ChIJhzVSl9TPEQ0Rr4dQtjZPk8I","Bar"
"El rincón de Tere","4.3","134","Plaza Ntra. Sra. de los Dolores, 2","Huelva","Huelva","ES","https://esplace.me/bar-plaza-los-dolores-159486-es","+34 959 80 77 60","Bar de tapas",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=El%20rinc%C3%B3n%20de%20Tere&query_place_id=ChIJw9cldNvPEQ0RUxYbFwETSfY","Bar de tapas"
"La tasquita de candela huelva","4.3","163","Plaza Sta. Raquel","Huelva","Huelva","ES",,"+34 671 92 95 42","Restaurante",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=La%20tasquita%20de%20candela%20huelva&query_place_id=ChIJAyry5w3PEQ0RiN5qnL1xtKI","Restaurante"
"Restaurante Blandón","4.1","464","Av. de Cristóbal Colón, 25","Huelva","Huelva","ES",,"+34 959 24 29 79","Bar restaurante",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Restaurante%20Bland%C3%B3n&query_place_id=ChIJd4_gMNjPEQ0RNkd9iYhGcAM","Bar restaurante"
"BAR LA PENULTIMA","5","1","C. Lima","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BAR%20LA%20PENULTIMA&query_place_id=ChIJDbw_tsHPEQ0Rks2o3BTFYiw","Bar"
"Bar El Cañaveral","3.9","110","Av. de Diego Morón, 6","Huelva","Huelva","ES",,"+34 959 81 01 79","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20El%20Ca%C3%B1averal&query_place_id=ChIJURciS-nPEQ0Rd1t23Ulp2oc","Bar"
"Bar Vaquero","3.8","421","C. Río de la Plata, 23","Huelva","Huelva","ES",,"+34 693 78 46 40","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Vaquero&query_place_id=ChIJF3JY08HPEQ0R5Ywb9kdqCkg","Bar"
"La Faraona","4.5","72","C. Fenicios","Huelva","Huelva","ES","https://www.instagram.com/lafaraonacerveceria?igsh=MTB2MWp2dGYyYXBucA%3D%3D&utm_source=qr","","Bar de tapas",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=La%20Faraona&query_place_id=ChIJMzF1JADPEQ0RNiCZJWK5NJo","Bar de tapas"
"Bar JD","4.8","4","Pl. Luis Buñuel, 3","Huelva","Huelva","ES",,"+34 959 81 03 97","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20JD&query_place_id=ChIJJyRvVFPPEQ0Ri2mHskRW2iI","Bar"
"Bar LA ILUSION","4.4","172","C. Montevideo, 8","Huelva","Huelva","ES",,"+34 617 78 28 19","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20LA%20ILUSION&query_place_id=ChIJu79sS8DPEQ0RNAJyS91BzbM","Bar"
"El Ancla","3.8","252","Av. Santa Marta, 43","Huelva","Huelva","ES",,"+34 615 60 26 04","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=El%20Ancla&query_place_id=ChIJIUGH1e7PEQ0RJPRXS7V8NrQ","Bar"
"Bar El Carmen","4.1","117","Av. del Ancla, 2","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20El%20Carmen&query_place_id=ChIJ5Q4yucTPEQ0R3m21sTppdHk","Bar"
"Bar Los Compadres Verdeluz","5","1","Plaza Sta. Raquel, 15","Huelva","Huelva","ES",,"",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Los%20Compadres%20Verdeluz&query_place_id=ChIJW_akPQDPEQ0Rlejoai8IedY",
"Ciudad del Marisco","4.3","30","C. Alonso de Ojeda, 21","Huelva","Huelva","ES",,"","Restaurante",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ciudad%20del%20Marisco&query_place_id=ChIJs6LI1WLPEQ0RVuZdObgB12w","Restaurante"
"Freiduría Hidalgo","4.5","112","Edificio Pintora Lola Martin, C. Agustin Dominguez Belda, s/n","Huelva","Huelva","ES",,"+34 959 31 68 47","Restaurante",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Freidur%C3%ADa%20Hidalgo&query_place_id=ChIJaSDtr-_PEQ0R8f_aiRYC0OE","Restaurante"
"ISTANBUL KEBAB HUELVA","4.9","92","C. Cartagenera, 17","Huelva","Huelva","ES","https://istanbulkebab.es/","+34 662 05 23 49","Restaurante turco","Restaurante especializado en döner kebab","Restaurante de comida rápida","Restaurante halal","Tienda de kebabs","Comida a domicilio","Restaurante de cocina de Oriente Medio",,,,"https://www.google.com/maps/search/?api=1&query=ISTANBUL%20KEBAB%20HUELVA&query_place_id=ChIJc4_E4bHPEQ0RSxdNcfpeNu0","Restaurante turco"
"Hamburguesería bianka","5","7","C. Sta. Eulalia, 7","Huelva","Huelva","ES",,"+34 643 96 01 48","Hamburguesería","Bar",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hamburgueser%C3%ADa%20bianka&query_place_id=ChIJibZgR9rPEQ0RGAvBEjUzExM","Hamburguesería"
"Bar ultimo dolar","4.3","78","C. Chucena, 2","Huelva","Huelva","ES",,"+34 663 29 30 53","Bar de tapas",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20ultimo%20dolar&query_place_id=ChIJXfa0AeHPEQ0Rbxd6ZdCMgZ4","Bar de tapas"
"MARISCOS TONI","4.8","56","Ciudad del Marisco, Av. de Enlace, 44, Nave 3.3-3.4","Huelva","Huelva","ES","https://www.mariscostoni.es/","+34 657 83 87 17","Marisquería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=MARISCOS%20TONI&query_place_id=ChIJlWK33S3QEQ0Rb_sQ5SoAMBs","Marisquería"
